column_name,dtype,non_null_count,null_count,null_ratio,unique_values,has_duplicates,is_constant,is_numeric,most_common_value,most_common_freq,is_datetime,is_binary,is_boolean,mean,std,min,max,median,q25,q75,iqr,skewness,kurtosis
date,str,366,0,0.0,366,False,False,False,2026/03/01,1.0,False,False,False,,,,,,,,,,
_date(org),str,366,0,0.0,366,False,False,False,2005-03-01,1.0,False,False,False,,,,,,,,,,
G(h)_Whm2,float64,366,0,0.0,366,False,False,True,,,False,False,False,4342.96131147541,1532.8029724302069,45.35,7695.95,4478.2,3412.9625,5472.0,2059.0375,-0.3644401676036528,-0.32435520535917917
G(h)_kWhm2,float64,366,0,0.0,366,False,False,True,,,False,False,False,4.34296131147541,1.532802972430207,0.04535,7.69595,4.478199999999999,3.4129625,5.4719999999999995,2.0590374999999996,-0.36444016760365194,-0.3243552053591796
G(h)_mean,float64,366,0,0.0,366,False,False,True,,,False,False,False,181.17744649362473,63.8758673554157,5.66875,320.6645833333333,186.76979166666666,142.20677083333334,229.75104166666665,87.54427083333331,-0.3693923682783431,-0.3337617305317435
G(h)_min,float64,366,0,0.0,1,True,True,False,0.0,366.0,False,True,False,,,,,,,,,,
G(h)_max,float64,366,0,0.0,359,True,False,True,,,False,False,False,660.0636612021858,196.18223720923842,45.35,1036.15,696.25,557.775,798.55,240.77499999999998,-0.8325671286886651,0.3147775658712617
G(h)_std_Wm2,float64,366,0,0.0,366,False,False,True,,,False,False,False,240.23483383821244,76.50467172300748,16.033646263404965,406.2119356024707,255.3370409076124,200.1563274726072,293.3350786378928,93.17875116528563,-0.6983037137877981,0.09030641831281061
G(h)_p10_Wm2,float64,366,0,0.0,1,True,True,False,0.0,366.0,False,True,False,,,,,,,,,,
G(h)_p90_Wm2,float64,366,0,0.0,365,True,False,True,,,False,False,False,564.3041803278687,186.40919562613811,13.604999999999992,956.255,602.4449999999999,462.76375,693.80625,231.04249999999996,-0.6732790681601718,0.03184838234288634
Gb(n)_Whm2,float64,366,0,0.0,366,False,False,True,,,False,False,False,4427.267295081967,2076.4568656594265,0.0,9451.97,4762.25,3130.06,6034.43,2904.3700000000003,-0.4209004175776425,-0.6017275797574668
Gb(n)_kWhm2,float64,366,0,0.0,366,False,False,True,,,False,False,False,4.4272672950819665,2.0764568656594267,0.0,9.45197,4.76225,3.1300600000000003,6.0344299999999995,2.9043699999999992,-0.42090041757764174,-0.6017275797574673
Gb(n)_mean,float64,366,0,0.0,366,False,False,True,,,False,False,False,184.77221596083788,86.84260957784839,0.0,393.8320833333333,198.42708333333334,130.41916666666668,252.74,122.32083333333333,-0.41333604029330623,-0.6085252466736266
Gb(n)_min,float64,366,0,0.0,1,True,True,False,-0.0,366.0,False,True,False,,,,,,,,,,
Gb(n)_max,float64,366,0,0.0,364,True,False,True,,,False,False,False,629.0039344262295,238.9318041808905,-0.0,1182.13,699.69,510.03999999999996,808.8175,298.77750000000003,-0.9032036661644737,-0.012842306235390843
Gb(n)_std_Wm2,float64,366,0,0.0,366,False,False,True,,,False,False,False,237.6613153493203,101.76718106492814,0.0,447.35656067887,259.070085169562,175.01496405047033,317.51162891299725,142.49666486252693,-0.6196400595681189,-0.4799428741319369
Gb(n)_p10_Wm2,float64,366,0,0.0,1,True,True,False,0.0,366.0,False,True,False,,,,,,,,,,
Gb(n)_p90_Wm2,float64,366,0,0.0,366,False,False,True,,,False,False,False,538.257262295082,237.59878725983577,0.0,951.994,593.3344999999999,389.54474999999985,724.4617499999999,334.9170000000001,-0.6195903481981029,-0.5795176546642078
Gd(h)_Whm2,float64,366,0,0.0,361,True,False,True,,,False,False,False,1555.672513661202,457.92390502475,45.35,2787.6,1539.0,1190.7375,1871.0124999999998,680.2749999999999,0.2846455651900365,-0.04214909877474149
Gd(h)_kWhm2,float64,366,0,0.0,361,True,False,True,,,False,False,False,1.5556725136612022,0.45792390502475,0.04535,2.7876,1.5390000000000001,1.1907375,1.8710125,0.680275,0.2846455651900351,-0.04214909877474193
Gd(h)_mean,float64,366,0,0.0,361,True,False,True,,,False,False,False,64.88271459471767,19.000798000222176,5.66875,116.15,64.125,49.809895833333336,77.95885416666667,28.148958333333333,0.3022554893192999,-0.07898168999339727
Gd(h)_min,float64,366,0,0.0,1,True,True,False,0.0,366.0,False,True,False,,,,,,,,,,
Gd(h)_max,float64,366,0,0.0,356,True,False,True,,,False,False,False,221.63155737704918,65.34390095345171,45.35,430.1,214.5,172.6,262.4625,89.86249999999998,0.5585824968441637,0.07383086380715476
Gd(h)_std_Wm2,float64,366,0,0.0,366,False,False,True,,,False,False,False,80.6106999201834,21.12080784351521,16.033646263404965,141.71760152651305,78.82724014112648,65.27807121857117,93.67349861805941,28.39542739948824,0.41542667828463364,0.3185552660161428
Gd(h)_p10_Wm2,float64,366,0,0.0,1,True,True,False,0.0,366.0,False,True,False,,,,,,,,,,
Gd(h)_p90_Wm2,float64,366,0,0.0,364,True,False,True,,,False,False,False,184.65601092896176,50.94038520934635,13.604999999999992,341.29999999999995,178.95499999999998,147.67125,216.8275,69.15625,0.4405266788734159,0.42736134918870805
IR(h)_Whm2,float64,366,0,0.0,364,True,False,True,,,False,False,False,8958.360546448088,823.218231052184,2762.29,10303.6,9098.05,8499.2,9591.5625,1092.3624999999993,-1.847392989249919,8.87799230373515
IR(h)_kWhm2,float64,366,0,0.0,364,True,False,True,,,False,False,False,8.958360546448088,0.8232182310521838,2.76229,10.3036,9.09805,8.4992,9.591562499999998,1.0923624999999983,-1.8473929892499201,8.877992303735159
IR(h)_mean,float64,366,0,0.0,364,True,False,True,,,False,False,False,374.19265994990894,30.58334016869173,262.4458333333333,429.31666666666666,379.0854166666667,354.1333333333334,399.6484375,45.51510416666662,-0.7036136586787406,0.14434851731995169
IR(h)_min,float64,366,0,0.0,279,True,False,True,,,False,False,False,354.324781420765,33.258075485821266,248.1,413.55,358.1,331.0875,381.75,50.66250000000002,-0.6511480303377464,0.04429068641540912
IR(h)_max,float64,366,0,0.0,259,True,False,True,,,False,False,False,394.4122950819672,28.874187708298532,275.75,448.4,399.825,373.15000000000003,419.2,46.049999999999955,-0.7057275611129836,0.15842622281011653
IR(h)_std_Wm2,float64,366,0,0.0,366,False,False,True,,,False,False,False,11.732984189287214,4.350112094331632,2.521128111881983,38.67423870136854,11.202735405426196,9.092556089536126,13.61359614277526,4.521040053239133,1.4012548533348237,4.847803945131596
IR(h)_p10_Wm2,float64,366,0,0.0,362,True,False,True,,,False,False,False,359.58726229508204,32.57784353883176,249.17,418.67,363.855,337.16375000000005,384.71,47.54624999999993,-0.7167354060322402,0.30680913349530714
IR(h)_p90_Wm2,float64,366,0,0.0,357,True,False,True,,,False,False,False,388.63289071038247,29.401820880320223,274.33,437.16,393.5825,367.27,414.12375,46.85374999999999,-0.6612697514647407,-0.036337286933488144
T2m_mean,float64,366,0,0.0,364,True,False,True,,,False,False,False,20.439065915300542,3.770727971852946,9.25625,25.925833333333333,21.402291666666667,17.467708333333334,23.7259375,6.258229166666666,-0.6475815047933496,-0.620446105864727
T2m_min,float64,366,0,0.0,315,True,False,True,,,False,False,False,17.23333333333333,3.9576474031975777,3.19,23.27,18.04,14.145,20.655,6.510000000000002,-0.6800894440280119,-0.19108546249831404
T2m_max,float64,366,0,0.0,319,True,False,True,,,False,False,False,23.782240437158475,3.82191623846107,13.62,30.33,24.81,21.13,26.895,5.765000000000001,-0.7278360180742044,-0.44883362707792474
T2m_std,float64,366,0,0.0,366,False,False,True,,,False,False,False,2.212610878515855,0.8216100244711843,0.3124331812622069,5.388239592464045,2.143677040498291,1.7110350093991102,2.657482034065962,0.9464470246668517,0.4558802752431478,0.5779346457447105
T2m_p10,float64,366,0,0.0,360,True,False,True,,,False,False,False,17.71841256830601,3.921251135502191,3.459,23.856,18.3545,14.5225,21.1655,6.643000000000001,-0.6864009571559981,-0.19321548372190067
T2m_p90,float64,366,0,0.0,361,True,False,True,,,False,False,False,23.330445355191255,3.7966827057628403,13.017,29.238,24.5135,20.5565,26.3295,5.773,-0.7353493707588128,-0.48306279818247067
RH_mean,float64,366,0,0.0,357,True,False,True,,,False,False,False,82.55717326958106,6.331148985167525,61.4625,97.65625,83.45,78.42760416666667,86.87708333333335,8.449479166666677,-0.3267273406369069,0.046904084022780346
RH_min,float64,366,0,0.0,212,True,False,True,,,False,False,False,68.95445355191258,9.451056046046277,36.4,96.1,69.55,62.275,74.4,12.125000000000007,-0.07609558250094312,0.17174676211183648
RH_max,float64,366,0,0.0,81,True,False,True,,,False,False,False,93.36950819672133,4.675411317771261,74.4,100.0,93.07499999999999,90.1,96.15,6.050000000000011,-0.9709214493343233,0.867311543724238
